fileName,name,contentUrl,encodingFormat
course_participation.csv,course_participation,https://raw.githubusercontent.com/openwashdata/course_participation/main/inst/extdata/course_participation.csv,csv
ds4owd_browser.csv,ds4owd_browser,https://raw.githubusercontent.com/openwashdata/ds4owd_browser/main/inst/extdata/ds4owd_browser.csv,ooxml
ds4owd_country.csv,ds4owd_country,https://raw.githubusercontent.com/openwashdata/ds4owd_country/main/inst/extdata/ds4owd_country.csv,csv
ds4owd_source.csv,ds4owd_source,https://raw.githubusercontent.com/openwashdata/ds4owd_source/main/inst/extdata/ds4owd_source.csv,ooxml
ds4owd_timeseries.csv,ds4owd_timeseries,https://raw.githubusercontent.com/openwashdata/ds4owd_timeseries/main/inst/extdata/ds4owd_timeseries.csv,csv
locations.csv,locations,https://raw.githubusercontent.com/openwashdata/locations/main/inst/extdata/locations.csv,ooxml
postsurvey.csv,postsurvey,https://raw.githubusercontent.com/openwashdata/postsurvey/main/inst/extdata/postsurvey.csv,csv
presurvey.csv,presurvey,https://raw.githubusercontent.com/openwashdata/presurvey/main/inst/extdata/presurvey.csv,ooxml
publishing_metadata.csv,publishing_metadata,https://raw.githubusercontent.com/openwashdata/publishing_metadata/main/inst/extdata/publishing_metadata.csv,csv
course_participation.xlsx,course_participation,https://raw.githubusercontent.com/openwashdata/course_participation/main/inst/extdata/course_participation.xlsx,ooxml
ds4owd_browser.xlsx,ds4owd_browser,https://raw.githubusercontent.com/openwashdata/ds4owd_browser/main/inst/extdata/ds4owd_browser.xlsx,csv
ds4owd_country.xlsx,ds4owd_country,https://raw.githubusercontent.com/openwashdata/ds4owd_country/main/inst/extdata/ds4owd_country.xlsx,ooxml
ds4owd_source.xlsx,ds4owd_source,https://raw.githubusercontent.com/openwashdata/ds4owd_source/main/inst/extdata/ds4owd_source.xlsx,csv
ds4owd_timeseries.xlsx,ds4owd_timeseries,https://raw.githubusercontent.com/openwashdata/ds4owd_timeseries/main/inst/extdata/ds4owd_timeseries.xlsx,ooxml
locations.xlsx,locations,https://raw.githubusercontent.com/openwashdata/locations/main/inst/extdata/locations.xlsx,csv
postsurvey.xlsx,postsurvey,https://raw.githubusercontent.com/openwashdata/postsurvey/main/inst/extdata/postsurvey.xlsx,ooxml
presurvey.xlsx,presurvey,https://raw.githubusercontent.com/openwashdata/presurvey/main/inst/extdata/presurvey.xlsx,csv
publishing_metadata.xlsx,publishing_metadata,https://raw.githubusercontent.com/openwashdata/publishing_metadata/main/inst/extdata/publishing_metadata.xlsx,ooxml
