browser,pageviews,visitors,visit_duration,visits,bounce_rate
Chrome,16182,3344,240,4393,38
Microsoft Edge,3709,679,279,943,32
Firefox,2071,309,299,422,28
Safari,1377,377,182,454,53
Mobile App,434,110,111,116,57
Samsung Browser,199,93,160,97,53
Opera,64,30,86,34,56
DuckDuckGo Privacy Browser,22,10,64,12,83
Phoenix Browser,20,11,88,11,55
Huawei Browser Mobile,17,5,346,6,33
UC Browser,15,8,242,8,50
Yandex Browser,10,10,0,10,100
vivo Browser,8,1,694,1,0
(not set),3,3,0,3,100
MIUI Browser,2,1,1,1,0
Notion,2,1,8,1,0
Ecosia,1,1,0,1,100
